country,year,liters,value
Argentina,1973,116887,76121
Armênia,1973,0,0
Austrália,1973,0,0
Áustria,1973,2310,2081
Bermudas,1973,0,0
Bélgica,1973,0,0
Bolívia,1973,0,0
Bósnia-Herzegovina,1973,0,0
Brasil,1973,0,0
Bulgária,1973,0,0
Canada,1973,0,0
Chile,1973,301559,212140
China,1973,0,0
"Coreia do Sul, República",1973,0,0
Croácia,1973,0,0
Emirados Árabes Unidos,1973,0,0
Eslovênia,1973,0,0
Eslováquia,1973,0,0
Espanha,1973,226805,117135
Estados Unidos,1973,0,0
França,1973,259060,435641
Geórgia,1973,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1973,0,0
Grécia,1973,0,0
Hong Kong,1973,0,0
Hungria,1973,0,0
Indonesia,1973,0,0
Irlanda,1973,0,0
Israel,1973,0,0
Itália,1973,258754,186334
Japão,1973,0,0
Iugoslavia,1973,1251,813
Líbano,1973,0,0
Luxemburgo,1973,0,0
Macedônia,1973,0,0
Marrocos,1973,0,0
México,1973,0,0
Moldávia,1973,0,0
Montenegro,1973,0,0
Noruega,1973,0,0
Nova Zelândia,1973,0,0
Paises Baixos (Holanda),1973,0,0
Panamá,1973,0,0
Peru,1973,0,0
Porto Rico,1973,0,0
Portugal,1973,2818320,2238637
Reino Unido,1973,0,0
Republica Dominicana,1973,0,0
Romênia,1973,0,0
Rússia,1973,0,0
San Marino,1973,0,0
Sérvia,1973,0,0
Síria,1973,0,0
Suíça,1973,0,0
"Tcheca, República",1973,0,0
Tunísia,1973,0,0
Turquia,1973,0,0
Ucrânia,1973,0,0
Uruguai,1973,0,0
Não consta na tabela,1973,0,0
Não declarados,1973,0,0
Outros,1973,4306,5775
Africa do Sul,1974,0,0
Alemanha,1974,219173,202502
Argélia,1974,0,0
Arábia Saudita,1974,0,0
Argentina,1974,215930,167473
Armênia,1974,0,0
Austrália,1974,0,0
Áustria,1974,5301,7394
Bermudas,1974,0,0
Bélgica,1974,0,0
Bolívia,1974,0,0
Bósnia-Herzegovina,1974,0,0
Brasil,1974,0,0
Bulgária,1974,0,0
Canada,1974,0,0
Chile,1974,550691,429885
China,1974,0,0
"Coreia do Sul, República",1974,0,0
Croácia,1974,0,0
Emirados Árabes Unidos,1974,0,0
Eslovênia,1974,0,0
Eslováquia,1974,0,0
Espanha,1974,362577,215208
Estados Unidos,1974,0,0
França,1974,316584,465175
Geórgia,1974,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1974,0,0
Grécia,1974,0,0
Hong Kong,1974,0,0
Hungria,1974,0,0
Indonesia,1974,0,0
Irlanda,1974,0,0
Israel,1974,0,0
Itália,1974,305763,278089
Japão,1974,0,0
Iugoslavia,1974,2520,1804
Líbano,1974,0,0
Luxemburgo,1974,0,0
Macedônia,1974,0,0
Marrocos,1974,0,0
México,1974,0,0
Moldávia,1974,0,0
Montenegro,1974,0,0
Noruega,1974,0,0
Nova Zelândia,1974,0,0
Paises Baixos (Holanda),1974,0,0
Panamá,1974,0,0
Peru,1974,0,0
Porto Rico,1974,0,0
Portugal,1974,2245288,1917710
Reino Unido,1974,0,0
Republica Dominicana,1974,0,0
Romênia,1974,0,0
Rússia,1974,0,0
San Marino,1974,0,0
Sérvia,1974,0,0
Síria,1974,0,0
Suíça,1974,0,0
"Tcheca, República",1974,0,0
Tunísia,1974,0,0
Turquia,1974,0,0
Ucrânia,1974,0,0
Uruguai,1974,0,0
Não consta na tabela,1974,0,0
Não declarados,1974,0,0
Outros,1974,21501,28163
Africa do Sul,1975,0,0
Alemanha,1975,134354,149931
Argélia,1975,0,0
Arábia Saudita,1975,0,0
Argentina,1975,145823,90855
Armênia,1975,0,0
Austrália,1975,0,0
Áustria,1975,8835,5560
Bermudas,1975,0,0
Bélgica,1975,0,0
Bolívia,1975,0,0
Bósnia-Herzegovina,1975,0,0
Brasil,1975,0,0
Bulgária,1975,0,0
Canada,1975,0,0
Chile,1975,952233,764780
China,1975,0,0
"Coreia do Sul, República",1975,0,0
Croácia,1975,0,0
Emirados Árabes Unidos,1975,0,0
Eslovênia,1975,0,0
Eslováquia,1975,0,0
Espanha,1975,174608,123102
Estados Unidos,1975,965,3761
França,1975,191546,278746
Geórgia,1975,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1975,0,0
Grécia,1975,0,0
Hong Kong,1975,0,0
Hungria,1975,0,0
Indonesia,1975,0,0
Irlanda,1975,0,0
Israel,1975,0,0
Itália,1975,250541,244731
Japão,1975,0,0
Iugoslavia,1975,7969,5128
Líbano,1975,0,0
Luxemburgo,1975,0,0
Macedônia,1975,0,0
Marrocos,1975,0,0
México,1975,0,0
Moldávia,1975,0,0
Montenegro,1975,0,0
Noruega,1975,0,0
Nova Zelândia,1975,0,0
Paises Baixos (Holanda),1975,0,0
Panamá,1975,0,0
Peru,1975,0,0
Porto Rico,1975,0,0
Portugal,1975,2192004,1838430
Reino Unido,1975,0,0
Republica Dominicana,1975,0,0
Romênia,1975,0,0
Rússia,1975,0,0
San Marino,1975,0,0
Sérvia,1975,0,0
Síria,1975,0,0
Suíça,1975,0,0
"Tcheca, República",1975,0,0
Tunísia,1975,0,0
Turquia,1975,0,0
Ucrânia,1975,0,0
Uruguai,1975,0,0
Não consta na tabela,1975,0,0
Não declarados,1975,0,0
Outros,1975,18132,13989
Africa do Sul,1976,0,0
Alemanha,1976,168134,171308
Argélia,1976,0,0
Arábia Saudita,1976,0,0
Argentina,1976,348653,277507
Armênia,1976,0,0
Austrália,1976,0,0
Áustria,1976,0,0
Bermudas,1976,0,0
Bélgica,1976,0,0
Bolívia,1976,0,0
Bósnia-Herzegovina,1976,0,0
Brasil,1976,0,0
Bulgária,1976,0,0
Canada,1976,0,0
Chile,1976,2175650,1574474
China,1976,0,0
"Coreia do Sul, República",1976,0,0
Croácia,1976,0,0
Emirados Árabes Unidos,1976,0,0
Eslovênia,1976,0,0
Eslováquia,1976,0,0
Espanha,1976,52474,41000
Estados Unidos,1976,1800,2575
França,1976,284613,423696
Geórgia,1976,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1976,0,0
Grécia,1976,0,0
Hong Kong,1976,0,0
Hungria,1976,0,0
Indonesia,1976,0,0
Irlanda,1976,0,0
Israel,1976,0,0
Itália,1976,304377,276633
Japão,1976,0,0
Iugoslavia,1976,2100,1870
Líbano,1976,0,0
Luxemburgo,1976,0,0
Macedônia,1976,0,0
Marrocos,1976,0,0
México,1976,0,0
Moldávia,1976,0,0
Montenegro,1976,0,0
Noruega,1976,0,0
Nova Zelândia,1976,0,0
Paises Baixos (Holanda),1976,0,0
Panamá,1976,0,0
Peru,1976,0,0
Porto Rico,1976,0,0
Portugal,1976,2284423,1872573
Reino Unido,1976,0,0
Republica Dominicana,1976,0,0
Romênia,1976,0,0
Rússia,1976,0,0
San Marino,1976,0,0
Sérvia,1976,0,0
Síria,1976,0,0
Suíça,1976,0,0
"Tcheca, República",1976,0,0
Tunísia,1976,0,0
Turquia,1976,0,0
Ucrânia,1976,0,0
Uruguai,1976,0,0
Não consta na tabela,1976,0,0
Não declarados,1976,0,0
Outros,1976,10200,7884
Africa do Sul,1977,0,0
Alemanha,1977,160926,201840
Argélia,1977,0,0
Arábia Saudita,1977,0,0
Argentina,1977,408399,395615
Armênia,1977,0,0
Austrália,1977,0,0
Áustria,1977,0,0
Bermudas,1977,0,0
Bélgica,1977,0,0
Bolívia,1977,0,0
Bósnia-Herzegovina,1977,0,0
Brasil,1977,0,0
Bulgária,1977,0,0
Canada,1977,0,0
Chile,1977,2593464,1962448
China,1977,0,0
"Coreia do Sul, República",1977,0,0
Croácia,1977,0,0
Emirados Árabes Unidos,1977,0,0
Eslovênia,1977,0,0
Eslováquia,1977,0,0
Espanha,1977,105667,98238
Estados Unidos,1977,2250,3275
França,1977,322033,476983
Geórgia,1977,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1977,0,0
Grécia,1977,0,0
Hong Kong,1977,0,0
Hungria,1977,0,0
Indonesia,1977,0,0
Irlanda,1977,0,0
Israel,1977,0,0
Itália,1977,348461,349392
Japão,1977,0,0
Iugoslavia,1977,1764,1570
Líbano,1977,0,0
Luxemburgo,1977,0,0
Macedônia,1977,0,0
Marrocos,1977,0,0
México,1977,0,0
Moldávia,1977,0,0
Montenegro,1977,0,0
Noruega,1977,0,0
Nova Zelândia,1977,0,0
Paises Baixos (Holanda),1977,0,0
Panamá,1977,0,0
Peru,1977,0,0
Porto Rico,1977,0,0
Portugal,1977,2132582,1847604
Reino Unido,1977,0,0
Republica Dominicana,1977,0,0
Romênia,1977,0,0
Rússia,1977,0,0
San Marino,1977,0,0
Sérvia,1977,0,0
Síria,1977,0,0
Suíça,1977,0,0
"Tcheca, República",1977,0,0
Tunísia,1977,0,0
Turquia,1977,0,0
Ucrânia,1977,0,0
Uruguai,1977,24191,33975
Não consta na tabela,1977,0,0
Não declarados,1977,0,0
Outros,1977,450,642
Africa do Sul,1978,0,0
Alemanha,1978,437831,668631
Argélia,1978,0,0
Arábia Saudita,1978,0,0
Argentina,1978,614134,709813
Armênia,1978,0,0
Austrália,1978,0,0
Áustria,1978,600,386
Bermudas,1978,0,0
Bélgica,1978,0,0
Bolívia,1978,0,0
Bósnia-Herzegovina,1978,0,0
Brasil,1978,0,0
Bulgária,1978,0,0
Canada,1978,0,0
Chile,1978,3742918,3415769
China,1978,0,0
"Coreia do Sul, República",1978,0,0
Croácia,1978,0,0
Emirados Árabes Unidos,1978,0,0
Eslovênia,1978,0,0
Eslováquia,1978,0,0
Espanha,1978,87767,75364
Estados Unidos,1978,58050,67752
França,1978,355292,633098
Geórgia,1978,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1978,0,0
Grécia,1978,0,0
Hong Kong,1978,0,0
Hungria,1978,0,0
Indonesia,1978,0,0
Irlanda,1978,0,0
Israel,1978,0,0
Itália,1978,250535,268114
Japão,1978,0,0
Iugoslavia,1978,1764,1630
Líbano,1978,0,0
Luxemburgo,1978,0,0
Macedônia,1978,0,0
Marrocos,1978,0,0
México,1978,0,0
Moldávia,1978,0,0
Montenegro,1978,0,0
Noruega,1978,0,0
Nova Zelândia,1978,0,0
Paises Baixos (Holanda),1978,0,0
Panamá,1978,0,0
Peru,1978,0,0
Porto Rico,1978,0,0
Portugal,1978,2763298,2706030
Reino Unido,1978,0,0
Republica Dominicana,1978,0,0
Romênia,1978,0,0
Rússia,1978,0,0
San Marino,1978,0,0
Sérvia,1978,0,0
Síria,1978,0,0
Suíça,1978,0,0
"Tcheca, República",1978,0,0
Tunísia,1978,0,0
Turquia,1978,0,0
Ucrânia,1978,0,0
Uruguai,1978,32371,33900
Não consta na tabela,1978,0,0
Não declarados,1978,0,0
Outros,1978,1347,1210
Africa do Sul,1979,0,0
Alemanha,1979,433478,691404
Argélia,1979,0,0
Arábia Saudita,1979,0,0
Argentina,1979,646978,888941
Armênia,1979,0,0
Austrália,1979,0,0
Áustria,1979,4250,3756
Bermudas,1979,0,0
Bélgica,1979,0,0
Bolívia,1979,0,0
Bósnia-Herzegovina,1979,0,0
Brasil,1979,0,0
Bulgária,1979,0,0
Canada,1979,0,0
Chile,1979,4235991,4315227
China,1979,0,0
"Coreia do Sul, República",1979,0,0
Croácia,1979,0,0
Emirados Árabes Unidos,1979,0,0
Eslovênia,1979,0,0
Eslováquia,1979,0,0
Espanha,1979,103825,92476
Estados Unidos,1979,32400,36360
França,1979,458369,795004
Geórgia,1979,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1979,0,0
Grécia,1979,0,0
Hong Kong,1979,0,0
Hungria,1979,0,0
Indonesia,1979,0,0
Irlanda,1979,0,0
Israel,1979,0,0
Itália,1979,407274,562726
Japão,1979,0,0
Iugoslavia,1979,2100,2050
Líbano,1979,0,0
Luxemburgo,1979,0,0
Macedônia,1979,0,0
Marrocos,1979,0,0
México,1979,0,0
Moldávia,1979,0,0
Montenegro,1979,0,0
Noruega,1979,0,0
Nova Zelândia,1979,0,0
Paises Baixos (Holanda),1979,0,0
Panamá,1979,0,0
Peru,1979,0,0
Porto Rico,1979,0,0
Portugal,1979,2823760,3493450
Reino Unido,1979,0,0
Republica Dominicana,1979,0,0
Romênia,1979,0,0
Rússia,1979,0,0
San Marino,1979,0,0
Sérvia,1979,0,0
Síria,1979,0,0
Suíça,1979,0,0
"Tcheca, República",1979,0,0
Tunísia,1979,0,0
Turquia,1979,0,0
Ucrânia,1979,0,0
Uruguai,1979,13320,22900
Não consta na tabela,1979,0,0
Não declarados,1979,0,0
Outros,1979,2411,2614
Africa do Sul,1980,0,0
Alemanha,1980,457033,704307
Argélia,1980,0,0
Arábia Saudita,1980,0,0
Argentina,1980,298471,479464
Armênia,1980,0,0
Austrália,1980,0,0
Áustria,1980,2385,5878
Bermudas,1980,0,0
Bélgica,1980,0,0
Bolívia,1980,0,0
Bósnia-Herzegovina,1980,0,0
Brasil,1980,0,0
Bulgária,1980,0,0
Canada,1980,0,0
Chile,1980,2568586,3199365
China,1980,0,0
"Coreia do Sul, República",1980,0,0
Croácia,1980,0,0
Emirados Árabes Unidos,1980,0,0
Eslovênia,1980,0,0
Eslováquia,1980,0,0
Espanha,1980,111381,109277
Estados Unidos,1980,32400,36720
França,1980,248038,508338
Geórgia,1980,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1980,0,0
Grécia,1980,0,0
Hong Kong,1980,0,0
Hungria,1980,0,0
Indonesia,1980,0,0
Irlanda,1980,0,0
Israel,1980,0,0
Itália,1980,217226,283635
Japão,1980,0,0
Iugoslavia,1980,0,0
Líbano,1980,0,0
Luxemburgo,1980,0,0
Macedônia,1980,0,0
Marrocos,1980,0,0
México,1980,0,0
Moldávia,1980,0,0
Montenegro,1980,0,0
Noruega,1980,0,0
Nova Zelândia,1980,0,0
Paises Baixos (Holanda),1980,0,0
Panamá,1980,0,0
Peru,1980,0,0
Porto Rico,1980,0,0
Portugal,1980,1601931,2146952
Reino Unido,1980,0,0
Republica Dominicana,1980,0,0
Romênia,1980,0,0
Rússia,1980,0,0
San Marino,1980,0,0
Sérvia,1980,0,0
Síria,1980,0,0
Suíça,1980,0,0
"Tcheca, República",1980,0,0
Tunísia,1980,0,0
Turquia,1980,0,0
Ucrânia,1980,0,0
Uruguai,1980,8880,16800
Não consta na tabela,1980,0,0
Não declarados,1980,0,0
Outros,1980,10446,10543
Africa do Sul,1981,0,0
Alemanha,1981,707194,853830
Argélia,1981,0,0
Arábia Saudita,1981,0,0
Argentina,1981,131738,209173
Armênia,1981,0,0
Austrália,1981,0,0
Áustria,1981,0,0
Bermudas,1981,0,0
Bélgica,1981,0,0
Bolívia,1981,0,0
Bósnia-Herzegovina,1981,0,0
Brasil,1981,0,0
Bulgária,1981,0,0
Canada,1981,0,0
Chile,1981,1647720,2344875
China,1981,0,0
"Coreia do Sul, República",1981,0,0
Croácia,1981,0,0
Emirados Árabes Unidos,1981,0,0
Eslovênia,1981,0,0
Eslováquia,1981,0,0
Espanha,1981,56316,59696
Estados Unidos,1981,28350,33443
França,1981,303063,479427
Geórgia,1981,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1981,0,0
Grécia,1981,0,0
Hong Kong,1981,0,0
Hungria,1981,0,0
Indonesia,1981,0,0
Irlanda,1981,0,0
Israel,1981,0,0
Itália,1981,178772,222760
Japão,1981,0,0
Iugoslavia,1981,0,0
Líbano,1981,0,0
Luxemburgo,1981,0,0
Macedônia,1981,0,0
Marrocos,1981,0,0
México,1981,0,0
Moldávia,1981,0,0
Montenegro,1981,0,0
Noruega,1981,0,0
Nova Zelândia,1981,0,0
Paises Baixos (Holanda),1981,0,0
Panamá,1981,0,0
Peru,1981,0,0
Porto Rico,1981,0,0
Portugal,1981,933906,1271300
Reino Unido,1981,0,0
Republica Dominicana,1981,0,0
Romênia,1981,0,0
Rússia,1981,0,0
San Marino,1981,0,0
Sérvia,1981,0,0
Síria,1981,0,0
Suíça,1981,0,0
"Tcheca, República",1981,0,0
Tunísia,1981,0,0
Turquia,1981,0,0
Ucrânia,1981,0,0
Uruguai,1981,0,0
Não consta na tabela,1981,0,0
Não declarados,1981,0,0
Outros,1981,17133,17869
Africa do Sul,1982,0,0
Alemanha,1982,996948,1126928
Argélia,1982,0,0
Arábia Saudita,1982,0,0
Argentina,1982,191972,264487
Armênia,1982,0,0
Austrália,1982,0,0
Áustria,1982,0,0
Bermudas,1982,0,0
Bélgica,1982,0,0
Bolívia,1982,0,0
Bósnia-Herzegovina,1982,0,0
Brasil,1982,0,0
Bulgária,1982,0,0
Canada,1982,0,0
Chile,1982,786016,1124272
China,1982,0,0
"Coreia do Sul, República",1982,0,0
Croácia,1982,0,0
Emirados Árabes Unidos,1982,0,0
Eslovênia,1982,0,0
Eslováquia,1982,0,0
Espanha,1982,119748,104790
Estados Unidos,1982,40563,52983
França,1982,313977,424752
Geórgia,1982,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1982,0,0
Grécia,1982,0,0
Hong Kong,1982,0,0
Hungria,1982,0,0
Indonesia,1982,0,0
Irlanda,1982,0,0
Israel,1982,0,0
Itália,1982,284440,322430
Japão,1982,0,0
Iugoslavia,1982,1350,1650
Líbano,1982,0,0
Luxemburgo,1982,0,0
Macedônia,1982,0,0
Marrocos,1982,0,0
México,1982,0,0
Moldávia,1982,0,0
Montenegro,1982,0,0
Noruega,1982,0,0
Nova Zelândia,1982,0,0
Paises Baixos (Holanda),1982,0,0
Panamá,1982,0,0
Peru,1982,0,0
Porto Rico,1982,0,0
Portugal,1982,1074983,1258983
Reino Unido,1982,0,0
Republica Dominicana,1982,0,0
Romênia,1982,0,0
Rússia,1982,0,0
San Marino,1982,0,0
Sérvia,1982,0,0
Síria,1982,0,0
Suíça,1982,0,0
"Tcheca, República",1982,0,0
Tunísia,1982,0,0
Turquia,1982,0,0
Ucrânia,1982,0,0
Uruguai,1982,0,0
Não consta na tabela,1982,0,0
Não declarados,1982,0,0
Outros,1982,22104,30505
Africa do Sul,1983,0,0
Alemanha,1983,850055,908380
Argélia,1983,0,0
Arábia Saudita,1983,0,0
Argentina,1983,132634,188625
Armênia,1983,0,0
Austrália,1983,0,0
Áustria,1983,8400,7581
Bermudas,1983,0,0
Bélgica,1983,0,0
Bolívia,1983,0,0
Bósnia-Herzegovina,1983,0,0
Brasil,1983,0,0
Bulgária,1983,0,0
Canada,1983,0,0
Chile,1983,598657,781217
China,1983,0,0
"Coreia do Sul, República",1983,0,0
Croácia,1983,0,0
Emirados Árabes Unidos,1983,0,0
Eslovênia,1983,0,0
Eslováquia,1983,0,0
Espanha,1983,65961,60450
Estados Unidos,1983,21654,24570
França,1983,267008,329128
Geórgia,1983,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1983,0,0
Grécia,1983,0,0
Hong Kong,1983,0,0
Hungria,1983,0,0
Indonesia,1983,0,0
Irlanda,1983,0,0
Israel,1983,0,0
Itália,1983,266333,308260
Japão,1983,0,0
Iugoslavia,1983,0,0
Líbano,1983,0,0
Luxemburgo,1983,0,0
Macedônia,1983,0,0
Marrocos,1983,0,0
México,1983,0,0
Moldávia,1983,0,0
Montenegro,1983,0,0
Noruega,1983,0,0
Nova Zelândia,1983,0,0
Paises Baixos (Holanda),1983,0,0
Panamá,1983,0,0
Peru,1983,0,0
Porto Rico,1983,0,0
Portugal,1983,1189656,1338370
Reino Unido,1983,0,0
Republica Dominicana,1983,0,0
Romênia,1983,0,0
Rússia,1983,0,0
San Marino,1983,0,0
Sérvia,1983,0,0
Síria,1983,0,0
Suíça,1983,0,0
"Tcheca, República",1983,0,0
Tunísia,1983,0,0
Turquia,1983,0,0
Ucrânia,1983,0,0
Uruguai,1983,0,0
Não consta na tabela,1983,0,0
Não declarados,1983,0,0
Outros,1983,6738,5862
Africa do Sul,1984,0,0
Alemanha,1984,586645,564129
Argélia,1984,0,0
Arábia Saudita,1984,0,0
Argentina,1984,42438,64603
Armênia,1984,0,0
Austrália,1984,0,0
Áustria,1984,0,0
Bermudas,1984,0,0
Bélgica,1984,0,0
Bolívia,1984,0,0
Bósnia-Herzegovina,1984,0,0
Brasil,1984,0,0
Bulgária,1984,0,0
Canada,1984,0,0
Chile,1984,490217,527176
China,1984,0,0
"Coreia do Sul, República",1984,0,0
Croácia,1984,0,0
Emirados Árabes Unidos,1984,0,0
Eslovênia,1984,0,0
Eslováquia,1984,0,0
Espanha,1984,7200,8421
Estados Unidos,1984,0,0
França,1984,117087,138156
Geórgia,1984,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1984,0,0
Grécia,1984,0,0
Hong Kong,1984,0,0
Hungria,1984,0,0
Indonesia,1984,0,0
Irlanda,1984,0,0
Israel,1984,0,0
Itália,1984,132321,141201
Japão,1984,0,0
Iugoslavia,1984,0,0
Líbano,1984,0,0
Luxemburgo,1984,0,0
Macedônia,1984,0,0
Marrocos,1984,0,0
México,1984,0,0
Moldávia,1984,0,0
Montenegro,1984,0,0
Noruega,1984,0,0
Nova Zelândia,1984,0,0
Paises Baixos (Holanda),1984,0,0
Panamá,1984,0,0
Peru,1984,0,0
Porto Rico,1984,0,0
Portugal,1984,536706,531515
Reino Unido,1984,0,0
Republica Dominicana,1984,0,0
Romênia,1984,0,0
Rússia,1984,0,0
San Marino,1984,0,0
Sérvia,1984,0,0
Síria,1984,0,0
Suíça,1984,0,0
"Tcheca, República",1984,0,0
Tunísia,1984,0,0
Turquia,1984,0,0
Ucrânia,1984,0,0
Uruguai,1984,0,0
Não consta na tabela,1984,0,0
Não declarados,1984,0,0
Outros,1984,26490,34499
Africa do Sul,1985,0,0
Alemanha,1985,1069717,1122438
Argélia,1985,0,0
Arábia Saudita,1985,0,0
Argentina,1985,114570,164424
Armênia,1985,0,0
Austrália,1985,0,0
Áustria,1985,11830,5016
Bermudas,1985,0,0
Bélgica,1985,0,0
Bolívia,1985,0,0
Bósnia-Herzegovina,1985,0,0
Brasil,1985,0,0
Bulgária,1985,0,0
Canada,1985,0,0
Chile,1985,1114665,1195151
China,1985,0,0
"Coreia do Sul, República",1985,0,0
Croácia,1985,0,0
Emirados Árabes Unidos,1985,0,0
Eslovênia,1985,0,0
Eslováquia,1985,0,0
Espanha,1985,61924,59833
